scenario,x1_none,x1_iptw,x1_iptw_ipcw,x1_ipcw,x1_ipcw_iptw,x2_none,x2_iptw,x2_iptw_ipcw,x2_ipcw,x2_ipcw_iptw,x3_none,x3_iptw,x3_iptw_ipcw,x3_ipcw,x3_ipcw_iptw
scen1,0.0952368498840007,0.1996268980055175,0.022475039339679776,0.13685395990987315,0.2959976461185469,0.41271539679619584,0.5797842512353246,0.09390587791242892,0.43319425649088816,0.8625752700583006,0.1377647519875701,0.2058661751787539,0.09587928923316225,0.17943724183542184,0.21312734275738723
scen2,0.48873300586717405,0.07080556026764602,0.034577923211691494,0.6606254451832074,0.11784166726277376,1.9954182754573264,0.30010526893670914,0.1795131687817288,2.2543375360455404,0.4274686920405308,0.15184939901636182,0.0775919132436002,0.1165148784698667,0.368664094755056,0.20998993527869086
scen3,0.7984767506480434,0.35126756732695336,0.15877967724576186,1.0777594597360904,0.4346249155390068,2.924019566159172,0.9676002466079274,0.6283205652759056,3.3533969455546697,1.2575723716443794,0.1384455741032467,0.3702785809149013,0.1827656335098063,0.5627371582971679,0.5047557681330497
scen4,0.10113141278481401,0.21185867212473533,0.024157429986463134,0.14870982991574225,0.31815207822967034,0.40018678462876067,0.5581146125157701,0.09486342262162618,0.4224369514500102,0.7990769379757573,0.1381423270970282,0.20140720805341447,0.09933637513702541,0.1735819022627874,0.2163038614733956
scen5,0.4846344478412028,0.07159696169646242,0.03476075434218622,0.6590974873624956,0.12385399891566669,1.9852030107882663,0.29972926319166276,0.1659911785373411,2.2276666994800434,0.44923169205014385,0.13865161280061572,0.07867679524794986,0.1156002485914111,0.3741545545782796,0.19740519303493623
scen6,0.7916071793433589,0.31446839648743796,0.151042461096306,1.0936913302928886,0.4280873993430839,2.931656802776827,0.9116374409699024,0.6040738512448829,3.370747654867582,1.170045828782067,0.14067959432730534,0.3647936047111781,0.19715242279331482,0.6107790329322542,0.5129371550251618
scen7,0.09454509011228117,0.20545565180094155,0.03506201669361507,0.2152569471080623,0.4321381282926042,0.377209326075827,0.5520080330051276,0.1385545510416897,0.4612174936418419,0.8240060839859354,0.14245598008512717,0.2202179114105115,0.12339014570435523,0.24190086693705773,0.32256886684019087
scen8,0.49682595978443145,0.08041452532674781,0.0510422555877106,0.9446267940822765,0.2272872295851553,1.9940515215441923,0.3309261835753786,0.2244446051738866,2.501580040769541,0.5964018855835197,0.13958691287759167,0.08245416163035606,0.14194522648681926,0.6127079867033802,0.29687242662235946
scen9,0.8061920859818067,0.22779321996284047,0.14835833675361368,1.5855921430500086,0.551237503110194,2.917957892080081,0.9201951871330745,0.6113132104750219,3.795709840350425,1.4577902454966898,0.14459299725128966,0.346260324333629,0.2101133867166645,1.0240048407489741,0.6155967652711966
scen10,0.1044313933897692,0.21048062053535013,0.035172246797527035,0.24733276266998133,0.4463439627973793,0.40691831203750917,0.5694179794703434,0.14219596401655524,0.4918570003766266,0.8840520566289796,0.13651032649125172,0.19740102474871937,0.12398285322283946,0.24995295192294997,0.3167026485588518
scen11,0.4819939772496417,0.07219816812283399,0.04960517256511338,0.9373789109407807,0.21335472713335332,1.9964685693945032,0.31803554259340244,0.23541344298224812,2.525025463264264,0.5590187290103029,0.13346260862901754,0.07985234968963818,0.15291411756204093,0.6161763355399765,0.3189223990587828
scen12,0.8024018637210285,0.2746658741882746,0.16406710398832527,1.6184067126121922,0.6949109301384397,2.9155990474481843,0.8787182986660722,0.5578659512331305,3.869089442549588,1.514819350509003,0.14245187776205392,0.29179927263831623,0.21130711443849604,1.070204825217248,0.6337121464198557
